Time, Memory,Method
242274,2248, POST
118252,768, POST
141455,768, POST
101670,768, POST
110507,768, POST
109255,768, POST
163526,928, POST
133620,784, POST
154650,848, POST
143238,784, POST
83075,784, POST
135604,784, POST
149560,1024, POST
72727,784, POST
77235,784, POST
129022,784, POST
129673,784, POST
115176,784, POST
77596,784, POST
129693,784, POST
128701,784, POST
169167,832, POST
120596,784, POST
154749,784, POST
120716,784, POST
126527,784, POST
87093,784, POST
126727,784, POST
120386,784, POST
149771,784, POST
119243,784, POST
134592,784, POST
133590,784, POST
122399,784, POST
126697,784, POST
136756,784, POST
127849,784, POST
136816,784, POST
132278,784, POST
159348,784, POST
124333,784, POST
125665,784, POST
120386,784, POST
143469,784, POST
131827,784, POST
217948,784, POST
130815,784, POST
124894,784, POST
122860,784, POST
139281,784, POST
131046,784, POST
124914,784, POST
122199,784, POST
134552,784, POST
122549,784, POST
122489,784, POST
135715,784, POST
121508,784, POST
121969,784, POST
127348,784, POST
150472,784, POST
120816,784, POST
144060,784, POST
131116,784, POST
120345,784, POST
121869,784, POST
128921,784, POST
120927,784, POST
153487,784, POST
132187,784, POST
130554,784, POST
137667,784, POST
122179,784, POST
146535,784, POST
152746,784, POST
123091,784, POST
129112,784, POST
121748,784, POST
122399,784, POST
127468,784, POST
121697,784, POST
135193,784, POST
120576,784, POST
147707,784, POST
135664,784, POST
143900,784, POST
129453,784, POST
144611,784, POST
151584,784, POST
120556,784, POST
167935,784, POST
138759,784, POST
130795,784, POST
125495,784, POST
156744,784, POST
120566,784, POST
118673,784, POST
151805,784, POST
120225,784, POST
119624,784, POST
191940,784, POST
97954,784, POST
173795,784, POST
122629,784, POST
121899,784, POST
72496,784, POST
84078,784, POST
71394,784, POST
74109,784, POST
73067,784, POST
98194,784, POST
75031,784, POST
130034,784, POST
121357,784, POST
131917,784, POST
162063,784, POST
132879,784, POST
133511,784, POST
148378,784, POST
131877,784, POST
135183,784, POST
134943,784, POST
131496,784, POST
132007,784, POST
135384,784, POST
133079,784, POST
131988,784, POST
132087,784, POST
134422,784, POST
157745,784, POST
132237,784, POST
134332,784, POST
160631,784, POST
132248,784, POST
132879,784, POST
134883,784, POST
122720,784, POST
121407,784, POST
124342,784, POST
136075,784, POST
144881,784, POST
120626,784, POST
129182,784, POST
122720,784, POST
121166,784, POST
120977,784, POST
129443,784, POST
138088,784, POST
120856,784, POST
122339,784, POST
133941,784, POST
119715,784, POST
120816,784, POST
120866,784, POST
121137,784, POST
128351,784, POST
138219,784, POST
124213,784, POST
123441,784, POST
128521,784, POST
129142,784, POST
131586,784, POST
137157,784, POST
125835,784, POST
133850,784, POST
126377,784, POST
128080,784, POST
125384,784, POST
125616,784, POST
123191,784, POST
131817,784, POST
148218,784, POST
136756,784, POST
122479,784, POST
122299,784, POST
118993,784, POST
120416,784, POST
121437,784, POST
119454,784, POST
121027,784, POST
125535,784, POST
125976,784, POST
119213,784, POST
141175,784, POST
121648,784, POST
119664,784, POST
118392,784, POST
120726,784, POST
118873,784, POST
118763,784, POST
120857,784, POST
119715,784, POST
121407,784, POST
120495,784, POST
136656,784, POST
137918,784, POST
144140,784, POST
125585,784, POST
136626,784, POST
124453,784, POST
129412,784, POST
164539,784, POST
109225,784, POST
105558,784, POST
182221,784, POST
134863,784, POST
135303,784, POST
143739,784, POST
141124,784, POST
146394,784, POST
151914,784, POST
133730,784, POST
133530,784, POST
150091,784, POST
141746,784, POST
134271,784, POST
131096,784, POST
120626,784, POST
135794,784, POST
120466,784, POST
132037,784, POST
119323,784, POST
135674,784, POST
127208,784, POST
148709,784, POST
140142,784, POST
132428,784, POST
133981,784, POST
74159,784, POST
76614,784, POST
81192,784, POST
79279,784, POST
73237,784, POST
92564,784, POST
77706,784, POST
80611,784, POST
74770,784, POST
73398,784, POST
77505,784, POST
73848,784, POST
79849,784, POST
70892,784, POST
78196,784, POST
77886,784, POST
81522,784, POST
76243,616, POST
82534,616, POST
74570,616, POST
126326,616, POST
130875,616, POST
125535,616, POST
126998,616, POST
121948,616, POST
122720,616, POST
122299,616, POST
119724,616, POST
119644,616, POST
122469,616, POST
119904,616, POST
118742,616, POST
137548,616, POST
127018,616, POST
126056,616, POST
125755,616, POST
125866,616, POST
125866,616, POST
125916,616, POST
125625,616, POST
125455,616, POST
126677,616, POST
126608,616, POST
139451,616, POST
134572,616, POST
134081,616, POST
125986,616, POST
123592,616, POST
140573,616, POST
114885,616, POST
117660,616, POST
112040,616, POST
112210,616, POST
130043,616, POST
137627,616, POST
127970,616, POST
127980,616, POST
126618,616, POST
137217,616, POST
140684,616, POST
128220,616, POST
126648,616, POST
134633,616, POST
110798,616, POST
130634,616, POST
111960,616, POST
112000,616, POST
114835,616, POST
110978,616, POST
114504,616, POST
111969,616, POST
110827,616, POST
125004,616, POST
112040,616, POST
79980,616, POST
115867,616, POST
115046,616, POST
117290,616, POST
113202,616, POST
113072,616, POST
111038,616, POST
121327,616, POST
114835,616, POST
151233,616, POST
132267,624, POST
72817,616, POST
68228,616, POST
80120,616, POST
75231,600, POST
80441,600, POST
75882,600, POST
72305,600, POST
131857,600, POST
111849,600, POST
115176,600, POST
80611,600, POST
124133,600, POST
136877,600, POST
108233,600, POST
171251,600, POST
129272,600, POST
118221,600, POST
124723,600, POST
130865,600, POST
121828,600, POST
111559,600, POST
109546,600, POST
117971,600, POST
65583,600, POST
112070,600, POST
113893,600, POST
115416,600, POST
128731,600, POST
68448,600, POST
116959,600, POST
111749,600, POST
110337,600, POST
73458,600, POST
108813,600, POST
108012,600, POST
109385,600, POST
118612,600, POST
110326,600, POST
165109,616, POST
114484,616, POST
114725,616, POST
122580,616, POST
112150,616, POST
130955,616, POST
125295,616, POST
118983,624, POST
114575,616, POST
115056,616, POST
115937,616, POST
121238,616, POST
120747,616, POST
120716,616, POST
122890,616, POST
125756,616, POST
116168,616, POST
130665,616, POST
116688,616, POST
123662,616, POST
115637,616, POST
115686,616, POST
138048,616, POST
123441,616, POST
113302,616, POST
114735,616, POST
131286,616, POST
122880,616, POST
114564,616, POST
115787,616, POST
117601,616, POST
116529,656, POST
116588,616, POST
115927,616, POST
131005,616, POST
122509,616, POST
124813,616, POST
115446,616, POST
113893,616, POST
121127,616, POST
112972,616, POST
136856,616, POST
121357,616, POST
77946,616, POST
69661,616, POST
76844,616, POST
70131,616, POST
74730,616, POST
128691,616, POST
127498,616, POST
123361,616, POST
138059,616, POST
265888,616, POST
78487,616, POST
120005,616, POST
116789,616, POST
126787,616, POST
113543,616, POST
113522,616, POST
119193,616, POST
111439,616, POST
112190,616, POST
144029,616, POST
113222,616, POST
122329,616, POST
129433,616, POST
132568,616, POST
112020,616, POST
111819,616, POST
120767,616, POST
113262,616, POST
111409,616, POST
110086,616, POST
118793,616, POST
118402,616, POST
111840,616, POST
114054,616, POST
113092,616, POST
117450,616, POST
119103,616, POST
123762,616, POST
129632,616, POST
68448,616, POST
73047,616, POST
73698,616, POST
67877,616, POST
79369,616, POST
72787,616, POST
77175,616, POST
70181,616, POST
75241,616, POST
131215,616, POST
73548,616, POST
68408,616, POST
76152,616, POST
70993,616, POST
118011,616, POST
115396,616, POST
112761,616, POST
125184,616, POST
124914,616, POST
73888,616, POST
76013,616, POST
75191,616, POST
75982,616, POST
69190,616, POST
71875,616, POST
67396,616, POST
71674,616, POST
