Time, Memory,Method
197524,2296, POST
98161,816, POST
104972,816, POST
102488,816, POST
116028,816, POST
115708,1112, POST
102348,976, POST
84109,832, POST
163501,896, POST
135198,832, POST
135418,832, POST
143120,832, POST
145965,832, POST
80934,832, POST
87685,832, POST
84160,832, POST
81335,832, POST
96769,832, POST
82517,832, POST
84610,832, POST
149671,832, POST
152765,880, POST
88667,832, POST
84930,832, POST
79482,832, POST
131082,832, POST
108247,832, POST
81745,832, POST
88687,832, POST
90839,832, POST
86342,832, POST
180408,832, POST
138843,832, POST
135619,832, POST
148418,832, POST
88256,832, POST
89308,832, POST
161518,832, POST
136750,832, POST
156711,832, POST
144823,832, POST
145664,832, POST
171704,832, POST
133505,832, POST
135258,832, POST
142449,832, POST
187318,832, POST
131702,832, POST
140336,832, POST
134527,832, POST
157032,832, POST
136180,832, POST
136750,832, POST
132944,832, POST
132925,832, POST
132123,832, POST
131662,832, POST
132403,832, POST
128588,832, POST
157682,832, POST
132404,832, POST
147086,832, POST
134918,832, POST
134166,832, POST
164203,832, POST
135098,832, POST
134307,832, POST
144823,832, POST
167408,832, POST
142830,832, POST
155479,832, POST
93214,832, POST
87775,832, POST
84389,832, POST
88186,832, POST
88546,832, POST
90289,832, POST
88205,832, POST
89258,832, POST
90439,832, POST
86754,832, POST
88035,832, POST
139054,832, POST
85602,832, POST
84870,832, POST
90499,832, POST
85161,832, POST
96939,832, POST
172595,832, POST
144072,832, POST
143470,832, POST
161469,832, POST
142088,832, POST
139985,832, POST
180538,832, POST
92552,832, POST
90449,832, POST
107275,832, POST
91200,832, POST
85291,832, POST
252268,832, POST
100345,832, POST
56707,832, POST
47022,832, POST
39030,832, POST
97871,832, POST
163061,832, POST
92823,832, POST
91250,832, POST
90429,832, POST
148568,832, POST
149540,832, POST
101787,832, POST
92943,832, POST
104792,832, POST
89678,832, POST
89948,832, POST
92923,832, POST
104320,832, POST
96248,832, POST
89838,832, POST
97309,832, POST
89929,832, POST
91450,832, POST
89828,832, POST
96428,832, POST
90739,832, POST
89117,832, POST
101596,832, POST
88817,832, POST
84550,832, POST
83749,832, POST
82166,832, POST
103309,832, POST
99413,832, POST
141408,832, POST
120745,832, POST
135358,832, POST
143501,832, POST
148419,832, POST
99553,832, POST
103649,832, POST
130210,832, POST
137281,832, POST
151362,832, POST
140546,832, POST
123911,832, POST
81295,832, POST
81826,832, POST
81876,832, POST
80554,832, POST
76508,832, POST
84069,832, POST
143160,832, POST
81045,832, POST
126164,832, POST
136279,832, POST
133455,832, POST
141808,832, POST
100384,832, POST
142549,832, POST
85241,832, POST
113685,832, POST
79573,832, POST
75626,832, POST
125302,832, POST
132204,832, POST
80103,832, POST
133866,832, POST
125663,832, POST
132755,832, POST
134346,832, POST
128568,832, POST
146515,832, POST
91531,832, POST
91531,832, POST
82798,832, POST
85021,832, POST
85301,832, POST
84390,832, POST
83819,832, POST
108727,832, POST
100144,832, POST
77109,832, POST
151363,832, POST
88436,832, POST
103319,832, POST
73022,832, POST
96468,832, POST
103790,832, POST
69386,832, POST
88376,832, POST
147086,832, POST
85612,832, POST
102398,856, POST
85662,832, POST
94986,832, POST
95397,832, POST
159435,1168, POST
89498,832, POST
73924,832, POST
77159,832, POST
62096,832, POST
77039,832, POST
83658,832, POST
68074,832, POST
87154,832, POST
79913,832, POST
81856,832, POST
76488,832, POST
74395,832, POST
74535,832, POST
80283,832, POST
77910,832, POST
123320,832, POST
127145,832, POST
120656,832, POST
79162,832, POST
123830,832, POST
79272,832, POST
81676,832, POST
133555,832, POST
127376,832, POST
134036,832, POST
130010,832, POST
143180,832, POST
129719,832, POST
129139,832, POST
126194,832, POST
128248,832, POST
126164,832, POST
129138,832, POST
124982,832, POST
127416,832, POST
128418,832, POST
124882,832, POST
136019,832, POST
123129,832, POST
145684,832, POST
125664,832, POST
124672,832, POST
122759,832, POST
144963,832, POST
132784,832, POST
133195,832, POST
133486,664, POST
115308,664, POST
115037,664, POST
131382,664, POST
115237,664, POST
134607,664, POST
138723,664, POST
121337,664, POST
114506,664, POST
121046,664, POST
120666,664, POST
115267,664, POST
127596,664, POST
127557,664, POST
122668,664, POST
115427,664, POST
124201,664, POST
118362,664, POST
124922,664, POST
133145,664, POST
122619,664, POST
124602,664, POST
115027,664, POST
117641,664, POST
80083,664, POST
96639,664, POST
78531,664, POST
78220,664, POST
78221,664, POST
90740,664, POST
78751,664, POST
79302,664, POST
95577,664, POST
135919,664, POST
119744,664, POST
115348,664, POST
116339,664, POST
130801,664, POST
124511,664, POST
126204,664, POST
115838,664, POST
140907,664, POST
134206,664, POST
134507,664, POST
131402,664, POST
126124,664, POST
125603,664, POST
157072,664, POST
146976,664, POST
128417,664, POST
129289,664, POST
132134,664, POST
127516,664, POST
133806,664, POST
132964,664, POST
123860,664, POST
77759,664, POST
102087,664, POST
116278,664, POST
75726,664, POST
87375,664, POST
125003,664, POST
123099,664, POST
117451,664, POST
129109,664, POST
120275,664, POST
126865,664, POST
132985,664, POST
129639,664, POST
99864,664, POST
86032,664, POST
103199,648, POST
67434,648, POST
141678,648, POST
70017,648, POST
145884,648, POST
149751,648, POST
128678,656, POST
171924,648, POST
143321,648, POST
69928,648, POST
71921,648, POST
69307,648, POST
112303,648, POST
74465,648, POST
89097,648, POST
67614,648, POST
80714,648, POST
176742,648, POST
71851,648, POST
75697,648, POST
73383,648, POST
118833,648, POST
131553,648, POST
137882,648, POST
124080,648, POST
118973,648, POST
119604,648, POST
135980,648, POST
78000,648, POST
77599,648, POST
77670,648, POST
77670,648, POST
74595,648, POST
88457,648, POST
134717,648, POST
93283,648, POST
68255,648, POST
117931,648, POST
88336,648, POST
73714,648, POST
75867,648, POST
71069,648, POST
127897,648, POST
78310,648, POST
74745,648, POST
88436,648, POST
129920,648, POST
161979,648, POST
126775,648, POST
128187,648, POST
214430,648, POST
128097,648, POST
125043,648, POST
140055,648, POST
141959,648, POST
128578,648, POST
125443,648, POST
128437,648, POST
134136,648, POST
76598,648, POST
76137,648, POST
167157,648, POST
78140,648, POST
74335,648, POST
76027,648, POST
74384,648, POST
73704,648, POST
100514,648, POST
75987,648, POST
71540,648, POST
115398,648, POST
96779,648, POST
62947,648, POST
93444,648, POST
93213,648, POST
85582,648, POST
87425,648, POST
201610,648, POST
77268,648, POST
82798,648, POST
80804,648, POST
76207,648, POST
74985,648, POST
68606,648, POST
80493,648, POST
69376,648, POST
70578,648, POST
74355,648, POST
138173,648, POST
99653,648, POST
230244,648, POST
96508,648, POST
128738,648, POST
133195,648, POST
130661,648, POST
129940,648, POST
149881,648, POST
149761,648, POST
114286,648, POST
383510,648, POST
83990,648, POST
77990,648, POST
88236,648, POST
77249,648, POST
78040,648, POST
75907,648, POST
77549,648, POST
75987,648, POST
75516,648, POST
89708,648, POST
74885,648, POST
126535,648, POST
146545,648, POST
78440,648, POST
78731,648, POST
84530,648, POST
75937,648, POST
76838,648, POST
81445,648, POST
75136,648, POST
79142,648, POST
79773,648, POST
78060,648, POST
87444,648, POST
78540,648, POST
81155,648, POST
77950,648, POST
128317,648, POST
123009,648, POST
124171,648, POST
77379,648, POST
79702,648, POST
113916,648, POST
120756,648, POST
121687,648, POST
125273,648, POST
123701,648, POST
88436,648, POST
167758,648, POST
75656,648, POST
76287,648, POST
75696,648, POST
114206,648, POST
127736,648, POST
75997,648, POST
118452,648, POST
76337,648, POST
113304,648, POST
80213,648, POST
127556,648, POST
114987,648, POST
86873,648, POST
154047,648, POST
158434,648, POST
82658,648, POST
74144,648, POST
121527,648, POST
133725,648, POST
110429,648, POST
154578,648, POST
114496,648, POST
99994,648, POST
136169,648, POST
125964,648, POST
112573,648, POST
123560,648, POST
129760,648, POST
134457,648, POST
149980,648, POST
129570,648, POST
176221,648, POST
108247,648, POST
109057,648, POST
81866,648, POST
70949,648, POST
78040,648, POST
73773,648, POST
84680,648, POST
70238,648, POST
69767,648, POST
78611,648, POST
71630,648, POST
130711,648, POST
235802,648, POST
127166,648, POST
123209,648, POST
121888,648, POST
